DISTRICT NAME,SUB-DISTRICT NAME
Upper Subansiri,Taksing
Upper Subansiri,Limeking
Upper Subansiri,Nacho
Upper Subansiri,Siyum
Upper Subansiri,Taliha
Upper Subansiri,Payeng
Upper Subansiri,Giba
Upper Subansiri,Chetam (Peer Yapu)
Upper Subansiri,Daporijo
Upper Subansiri,Puchi Geko
Upper Subansiri,Dumporijo
Upper Subansiri,Gussar
Upper Subansiri,Gite-Ripa
Upper Subansiri,Baririjo
Upper Subansiri,Maro
West Siang,Mechuka
West Siang,Monigong
West Siang,Pidi
West Siang,Payum
West Siang,Tato
West Siang,Kaying
West Siang,Darak
West Siang,Kamba
West Siang,Rumgong
West Siang,Jomlo Mobuk
West Siang,Liromoba
West Siang,Yomcha
West Siang,Aalo
West Siang,Tirbin
West Siang,Basar
West Siang,Daring
West Siang,Gensi
West Siang,Sibe
West Siang,Likabali
West Siang,Kangku
West Siang,Bagra
East Siang,Boleng
East Siang,Riga
East Siang,Pangin
East Siang,Kebang
East Siang,Rebo-Perging
East Siang,Koyu
East Siang,Kora
East Siang,Nari
East Siang,New Seren
East Siang,Bilat
East Siang,Ruksin
East Siang,Sille-Oyan
East Siang,Pasighat
East Siang,Mebo
East Siang,Namsing
Upper Siang,Tuting
Upper Siang,Migging
Upper Siang,Palling
Upper Siang,Gelling
Upper Siang,Singa
Upper Siang,Yingkiong
Upper Siang,Jengging
Upper Siang,Geku
Upper Siang,Mariyang
Upper Siang,Mopom ( Adipasi )
Upper Siang,Katan
Changlang,Khimiyong
Changlang,Yatdam
Changlang,Changlang
Changlang,Namtok
Changlang,Manmao
Changlang,Renuk
Changlang,Lyngok-Longtoi
Changlang,Nampong
Changlang,Tikhak Rima Putok
Changlang,Jairampur
Changlang,Vijoynagar
Changlang,Miao
Changlang,Kharsang
Changlang,Diyun
Changlang,Bordumsa
Tirap,Namsang
Tirap,Soha
Tirap,Khonsa
Tirap,Dadam
Tirap,Kanubari
Tirap,Lawnu
Tirap,Longding
Tirap,Pumao
Tirap,Pangchao
Tirap,Wakka
Tirap,Laju
Lower Subansiri,Ziro (Sadar)
Lower Subansiri,Old Ziro
Lower Subansiri,Yachuli
Lower Subansiri,Yazali
Lower Subansiri,Pistana
Lower Subansiri,Kamporijo
Lower Subansiri,Dollungmukh
Lower Subansiri,Raga
Kurung Kumey,Palin
Kurung Kumey,Yangte
Kurung Kumey,Sangram
Kurung Kumey,Nyapin
Kurung Kumey,Phassang
Kurung Kumey,Koloriang
Kurung Kumey,Chambang
Kurung Kumey,Gangte
Kurung Kumey,Tarak-Lengdi
Kurung Kumey,Sarli
Kurung Kumey,Parsi-Parlo
Kurung Kumey,Damin
Kurung Kumey,Longding Koling (Pipsorang)
Kurung Kumey,Tali
Dibang Valley,Mipi
Dibang Valley,Anini
Dibang Valley,Etalin
Dibang Valley,Anelih
Dibang Valley,Kronli (Arzoo Circle)
Lower Dibang Valley,Hunli
Lower Dibang Valley,Desali
Lower Dibang Valley,Roing
Lower Dibang Valley,Dambuk
Lower Dibang Valley,Tinali ( Paglam )
Lower Dibang Valley,Koronu
Lohit,Sunpura
Lohit,Tezu
Lohit,Wakro
Lohit,Chongkham
Lohit,Namsai
Lohit,Lathao
Lohit,Piyong
Lohit,Lekang (Mahadevpur)
Anjaw,Hayuliang
Anjaw,Manchal
Anjaw,Goiliang
Anjaw,Chaglagam
Anjaw,Metengliang
Anjaw,Kibithoo
Anjaw,Walong
Anjaw,Hawai
Mon,Naginimora
Mon,Tizit
Mon,Hunta
Mon,Shangnyu
Mon,Mon Sadar
Mon,Wakching
Mon,Aboi
Mon,Longshen
Mon,Phomching
Mon,Chen
Mon,Angjangyang
Mon,Mopong
Mon,Tobu
Mon,Monyakshu
Mokokchung,Longchem
Mokokchung,Alongkima
Mokokchung,Tuli
Mokokchung,Changtongya
Mokokchung,Chuchuyimlang
Mokokchung,Kubolong
Mokokchung,Mangkolemba
Mokokchung,Merangmen
Mokokchung,Ongpangkong
Zunheboto,V.K.
Zunheboto,Akuluto
Zunheboto,Suruhuto
Zunheboto,Asuto
Zunheboto,Aghunato
Zunheboto,Zunheboto Sadar
Zunheboto,Atoizu
Zunheboto,Akuhaito
Zunheboto,Pughoboto
Zunheboto,Ghathashi
Zunheboto,Satakha
Zunheboto,Saptiqa
Zunheboto,Satoi
Wokha,Changpang
Wokha,Aitepyong
Wokha,Bhandari
Wokha,Baghty
Wokha,Sungro
Wokha,Sanis
Wokha,Lotsu
Wokha,Ralan
Wokha,Wozhuro
Wokha,Wokha Sadar
Wokha,Englan
Wokha,Chukitong
Dimapur,Niuland
Dimapur,Aquqhnaqua
Dimapur,Kuhoboto
Dimapur,Nihokhu
Dimapur,Dimapur Sadar
Dimapur,Chumukedima
Dimapur,Dhansiripar
Dimapur,Medziphema
Phek,Sekruzu
Phek,Phek Sadar
Phek,Khuza
Phek,Meluri
Phek,Phor
Phek,Phokhungri
Phek,Chozuba
Phek,Chetheba
Phek,Sakraba
Phek,Pfutsero
Phek,Zuketsa
Phek,Khezhakeno
Phek,Chizami
Phek,Razieba
Tuensang,Noksen
Tuensang,Chare
Tuensang,Longkhim
Tuensang,Tuensang Sadar
Tuensang,Ngoungchung
Tuensang,Sangsangnyu
Tuensang,Sotokur
Tuensang,Noklak
Tuensang,Chingmei
Tuensang,Nokhu
Tuensang,Panso
Tuensang,Shamator
Tuensang,Tsurungto
Tuensang,Chessore
Tuensang,Mangko
Tuensang,Thonoknyu
Longleng,Tamlu
Longleng,Namsang
Longleng,Yongnyah
Longleng,Longleng
Longleng,Sakshi
Kiphire,Seyochung
Kiphire,Amahator
Kiphire,Kiphire Sadar
Kiphire,Kiusam
Kiphire,Sitimi
Kiphire,Longmatra
Kiphire,Pungro
Kiphire,Khongsa
Kohima,Tseminyu
Kohima,Tsogin
Kohima,Chiephobozou
Kohima,Botsa
Kohima,Kezocha
Kohima,Jakhama
Kohima,Kohima Sadar
Kohima,Sechu-Zubza
Peren,Pedi (Ngwalwa)
Peren,Jalukie
Peren,Athibung
Peren,Kebai Khelma
Peren,Nsong
Peren,Tening
Peren,Peren
Mamit,Zawlnuam
Mamit,West Phaileng
Mamit,Reiek
Kolasib,'N' Thingdawl
Kolasib,Bilkhawthlir
Kolasib,Tlangnuam (Part)
Aizawl,Darlawn
Aizawl,Phullen
Aizawl,Aibawk
Aizawl,Tlangnuam (Part)
Aizawl,Thingsulthliah (Part)
Champhai,Ngopa
Champhai,Khawzawl
Champhai,Champhai
Champhai,Khawbung
Champhai,East Lungdar (Part)
Serchhip,Thingsulthliah (Part)
Serchhip,Serchhip
Serchhip,East Lungdar (Part)
Lunglei,West Bunghmun
Lunglei,Lungsen
Lunglei,Lunglei
Lunglei,Hnahthial
Lawngtlai,Chawngte
Lawngtlai,Lawngtlai
Lawngtlai,S' Bungtlang
Lawngtlai,Sangau
Saiha,Tuipang
Saiha,Saiha
West Tripura,Mohanpur
West Tripura,Hezamara
West Tripura,Padmabil
West Tripura,Khowai
West Tripura,Tulashikhar
West Tripura,Kalyanpur
West Tripura,Teliamura
West Tripura,Mungiakumi
West Tripura,Mandai
West Tripura,Jirania
West Tripura,Dukli
West Tripura,Jampuijala
West Tripura,Bishalgarh
West Tripura,Boxanagar
West Tripura,Melaghar
West Tripura,Kathalia
South Tripura,Killa
South Tripura,Amarpur
South Tripura,Ompi
South Tripura,Matarbari
South Tripura,Kakraban
South Tripura,Rajnagar
South Tripura,Hrishyamukh
South Tripura,Bokafa
South Tripura,Karbuk
South Tripura,Rupaichhari
South Tripura,Satchand
Dhalai,Salema
Dhalai,Manu
Dhalai,Ambassa
Dhalai,Chhamanu
Dhalai,Dumburnagar
North Tripura,Gournagar
North Tripura,Kadamtala
North Tripura,Panisagar
North Tripura,Damchhara
North Tripura,Pencharthal
North Tripura,Kumarghat
North Tripura,Dasda
North Tripura,Jampuii Hills
West Garo Hills,Selsella
West Garo Hills,Dadenggiri
West Garo Hills,Tikrikilla
West Garo Hills,Rongram
West Garo Hills,Betasing
West Garo Hills,Zikzak
West Garo Hills,Gambegre
West Garo Hills,Dalu
East Garo Hills,Resubelpara
East Garo Hills,Dambo Rongjeng
East Garo Hills,Kharkutta
East Garo Hills,Songsak
East Garo Hills,Samanda
South Garo Hills,Chokpot
South Garo Hills,Gasuapara
South Garo Hills,Baghmara
South Garo Hills,Rongara
West Khasi Hills,Mawshynrut
West Khasi Hills,Nongstoin
West Khasi Hills,Mawthadraishan
West Khasi Hills,Mairang
West Khasi Hills,Ranikor
West Khasi Hills,Mawkyrwat
Ribhoi,Umling
Ribhoi,Jirang
Ribhoi,Umsning
East Khasi Hills,Mawphlang
East Khasi Hills,Mylliem
East Khasi Hills,Mawryngkneng
East Khasi Hills,Mawkynrew
East Khasi Hills,Khatarshnong Laitkroh
East Khasi Hills,Mawsynram
East Khasi Hills,Shella Bholaganj
East Khasi Hills,Pynursla
Jaintia Hills,Thadlaskein
Jaintia Hills,Laskein
Jaintia Hills,Amlarem
Jaintia Hills,Khliehriat
Jaintia Hills,Saipung
Kokrajhar,Gossaigaon (Pt)
Kokrajhar,Bhowraguri
Kokrajhar,Dotoma
Kokrajhar,Kokrajhar (Pt)
Kokrajhar,Golokganj (Pt)
Kokrajhar,Dhubri (Pt)
Kokrajhar,Bagribari (Pt)
Kokrajhar,Bilasipara (Pt)
Kokrajhar,Chapar (Pt)
Dhubri,Gossaigaon (Pt)
Dhubri,Agamoni
Dhubri,Golokganj (Pt)
Dhubri,Dhubri (Pt)
Dhubri,Bagribari (Pt)
Dhubri,Bilasipara (Pt)
Dhubri,Chapar (Pt)
Dhubri,South Salmara
Dhubri,Mankachar
Goalpara,Lakhipur
Goalpara,Balijana
Goalpara,Matia
Goalpara,Dudhnai
Goalpara,Rangjuli
Barpeta,Barnagar (Pt)
Barpeta,Kalgachia
Barpeta,Baghbor
Barpeta,Chenga
Barpeta,Barpeta
Barpeta,Sarthebari
Barpeta,Bajali (Pt)
Barpeta,Sarupeta (Pt)
Barpeta,Jalah (Pt)
Morigaon,Mayong
Morigaon,Bhuragaon
Morigaon,Laharighat
Morigaon,Marigaon
Morigaon,Mikirbheta
Nagaon,Kaliabor
Nagaon,Samaguri
Nagaon,Rupahi
Nagaon,Dhing
Nagaon,Nagaon
Nagaon,Raha
Nagaon,Kampur
Nagaon,Hojai
Nagaon,Doboka
Nagaon,Lanka
Sonitpur,Dhekiajuli (Pt)
Sonitpur,Chariduar
Sonitpur,Tezpur
Sonitpur,Na-Duar
Sonitpur,Biswanath
Sonitpur,Helem
Sonitpur,Gohpur
Lakhimpur,Narayanpur
Lakhimpur,Bihpuria
Lakhimpur,Naobaicha
Lakhimpur,Kadam
Lakhimpur,North Lakhimpur
Lakhimpur,Dhakuakhana (Pt)
Lakhimpur,Subansiri (Pt)
Dhemaji,Dhemaji
Dhemaji,Sissibargaon
Dhemaji,Jonai
Dhemaji,Dhakuakhana (Pt)
Dhemaji,Subansiri (Pt)
Dhemaji,Gogamukh
Tinsukia,Sadiya
Tinsukia,Doom Dooma
Tinsukia,Tinsukia
Tinsukia,Margherita
Dibrugarh,Dibrugarh West
Dibrugarh,Dibrugarh East
Dibrugarh,Chabua
Dibrugarh,Tengakhat
Dibrugarh,Moran
Dibrugarh,Tingkhong
Dibrugarh,Naharkatiya
Sivasagar,Dimow
Sivasagar,Sivasagar
Sivasagar,Amguri
Sivasagar,Nazira
Sivasagar,Sonari
Sivasagar,Mahmora
Jorhat,Majuli
Jorhat,Jorhat West
Jorhat,Jorhat East
Jorhat,Teok
Jorhat,Titabor
Jorhat,Mariani
Golaghat,Bokakhat
Golaghat,Khumtai
Golaghat,Dergaon
Golaghat,Golaghat
Golaghat,Morangi
Golaghat,Sarupathar
Karbi Anglong,Donka
Karbi Anglong,Diphu
Karbi Anglong,Phuloni
Karbi Anglong,Silonijan
Dima Hasao,Umrangso
Dima Hasao,Haflong
Dima Hasao,Mahur
Dima Hasao,Maibong
Cachar,Katigora
Cachar,Silchar
Cachar,Udarbond
Cachar,Sonai
Cachar,Lakhipur
Karimganj,Karimganj
Karimganj,Badarpur
Karimganj,Nilambazar
Karimganj,Patharkandi
Karimganj,Ramkrishna Nagar
Hailakandi,Algapur
Hailakandi,Hailakandi
Hailakandi,Lala
Hailakandi,Katlichara
Bongaigaon,Bongaigaon (Pt)
Bongaigaon,Boitamari
Bongaigaon,Srijangram
Bongaigaon,Bijni (Pt)
Bongaigaon,Sidli (Pt)
Chirang,Kokrajhar (Pt)
Chirang,Bengtol
Chirang,Sidli (Pt)
Chirang,Bongaigaon (Pt)
Chirang,Bijni (Pt)
Chirang,Barnagar (Pt)
Kamrup,Goreswar (Pt)
Kamrup,Rangia (Pt)
Kamrup,Koya
Kamrup,Kamalpur
Kamrup,Hajo
Kamrup,Chhaygaon
Kamrup,Goroimari
Kamrup,Chamaria
Kamrup,Nagarbera
Kamrup,Boko
Kamrup,Palasbari
Kamrup,North Guwahati (Pt)
Kamrup Metropolitan,Azara
Kamrup Metropolitan,North Guwahati (Pt)
Kamrup Metropolitan,Dispur
Kamrup Metropolitan,Sonapur
Kamrup Metropolitan,Chandrapur
Nalbari,Barama (Pt)
Nalbari,Tihu (Pt)
Nalbari,Pachim Nalbari
Nalbari,Barkhetri
Nalbari,Barbhag
Nalbari,Nalbari
Nalbari,Banekuchi
Nalbari,Ghograpar (Pt)
Nalbari,Baganpara (Pt)
Baksa,Barnagar (Pt)
Baksa,Bajali (Pt)
Baksa,Sarupeta (Pt)
Baksa,Jalah (Pt)
Baksa,Goreswar (Pt)
Baksa,Rangia (Pt)
Baksa,Barama (Pt)
Baksa,Tihu (Pt)
Baksa,Ghograpar (Pt)
Baksa,Baska
Baksa,Baganpara (Pt)
Baksa,Tamulpur
Baksa,Pathorighat (Pt)
Darrang,Khoirabari (Pt)
Darrang,Pathorighat (Pt)
Darrang,Sipajhar
Darrang,Mangaldoi (Pt)
Darrang,Kalaigaon (Pt)
Darrang,Dalgaon (Pt)
Udalguri,Khoirabari (Pt)
Udalguri,Pathorighat (Pt)
Udalguri,Mangaldoi (Pt)
Udalguri,Kalaigaon (Pt)
Udalguri,Dalgaon (Pt)
Udalguri,Harisinga
Udalguri,Udalguri
Udalguri,Mazbat
Udalguri,Dhekiajuli (Pt)
Darjiling,Darjeeling Pulbazar
Darjiling,Rangli Rangliot
Darjiling,Kalimpong -I
Darjiling,Kalimpong - Ii
Darjiling,Gorubathan
Darjiling,Jorebunglow Sukiapokhri
Darjiling,Mirik
Darjiling,Kurseong
Darjiling,Matigara
Darjiling,Naxalbari
Darjiling,Phansidewa
Darjiling,Kharibari
Jalpaiguri,Rajganj
Jalpaiguri,Mal
Jalpaiguri,Matiali
Jalpaiguri,Nagrakata
Jalpaiguri,Madarihat
Jalpaiguri,Kalchini
Jalpaiguri,Kumargram
Jalpaiguri,Alipurduar - I
Jalpaiguri,Alipurduar - Ii
Jalpaiguri,Falakata
Jalpaiguri,Dhupguri
Jalpaiguri,Maynaguri
Jalpaiguri,Jalpaiguri
Koch Bihar,Haldibari
Koch Bihar,Mekliganj
Koch Bihar,Mathabhanga - I
Koch Bihar,Mathabhanga - Ii
Koch Bihar,Cooch Behar - I
Koch Bihar,Cooch Behar - Ii
Koch Bihar,Tufanganj - I
Koch Bihar,Tufanganj - Ii
Koch Bihar,Dinhata - I
Koch Bihar,Dinhata - Ii
Koch Bihar,Sitai
Koch Bihar,Sitalkuchi
Uttar Dinajpur,Chopra
Uttar Dinajpur,Islampur
Uttar Dinajpur,Goalpokhar - I
Uttar Dinajpur,Goalpokhar - Ii
Uttar Dinajpur,Karandighi
Uttar Dinajpur,Raiganj
Uttar Dinajpur,Hemtabad
Uttar Dinajpur,Kaliaganj
Uttar Dinajpur,Itahar
Dakshin Dinajpur,Kushmundi
Dakshin Dinajpur,Gangarampur
Dakshin Dinajpur,Kumarganj
Dakshin Dinajpur,Hilli
Dakshin Dinajpur,Balurghat
Dakshin Dinajpur,Area Not Under Any Sub-District
Dakshin Dinajpur,Tapan
Dakshin Dinajpur,Bansihari
Dakshin Dinajpur,Harirampur
Maldah,Harischandrapur - I
Maldah,Harischandrapur - Ii
Maldah,Chanchal - I
Maldah,Chanchal - Ii
Maldah,Ratua - I
Maldah,Ratua - Ii
Maldah,Gazole
Maldah,Bamangola
Maldah,Habibpur
Maldah,Maldah (Old)
Maldah,English Bazar
Maldah,Manikchak
Maldah,Kaliachak - I
Maldah,Kaliachak - Ii
Maldah,Kaliachak - Iii
Murshidabad,Farakka
Murshidabad,Samserganj
Murshidabad,Suti - I
Murshidabad,Suti - Ii
Murshidabad,Raghunathganj - I
Murshidabad,Raghunathganj - Ii
Murshidabad,Lalgola
Murshidabad,Sagardighi
Murshidabad,Bhagawangola - I
Murshidabad,Bhagawangola - Ii
Murshidabad,Raninagar - Ii
Murshidabad,Jalangi
Murshidabad,Domkal
Murshidabad,Raninagar - I
Murshidabad,Murshidabad Jiaganj
Murshidabad,Nabagram
Murshidabad,Khargram
Murshidabad,Kandi
Murshidabad,Berhampore
Murshidabad,Hariharpara
Murshidabad,Nawda
Murshidabad,Beldanga - I
Murshidabad,Beldanga - Ii
Murshidabad,Bharatpur - Ii
Murshidabad,Bharatpur - I
Murshidabad,Burwan
Birbhum,Murarai - I
Birbhum,Murarai - Ii
Birbhum,Nalhati - I
Birbhum,Nalhati - Ii
Birbhum,Rampurhat - I
Birbhum,Rampurhat - Ii
Birbhum,Mayureswar - I
Birbhum,Mayureswar - Ii
Birbhum,Mohammad Bazar
Birbhum,Rajnagar
Birbhum,Suri - I
Birbhum,Suri - Ii
Birbhum,Sainthia
Birbhum,Labpur
Birbhum,Nanoor
Birbhum,Bolpur Sriniketan
Birbhum,Illambazar
Birbhum,Dubrajpur
Birbhum,Khoyrasol
Barddhaman,Salanpur
Barddhaman,Barabani
Barddhaman,Area Not Under Any Sub-District
Barddhaman,Jamuria
Barddhaman,Raniganj
Barddhaman,Ondal
Barddhaman,Pandabeswar
Barddhaman,Faridpur Durgapur
Barddhaman,Kanksa
Barddhaman,Ausgram - Ii
Barddhaman,Ausgram - I
Barddhaman,Mangolkote
Barddhaman,Ketugram - I
Barddhaman,Ketugram - Ii
Barddhaman,Katwa - I
Barddhaman,Katwa - Ii
Barddhaman,Purbasthali - I
Barddhaman,Purbasthali - Ii
Barddhaman,Manteswar
Barddhaman,Bhatar
Barddhaman,Galsi - I
Barddhaman,Galsi - Ii
Barddhaman,Burdwan - I
Barddhaman,Burdwan - Ii
Barddhaman,Memari - I
Barddhaman,Memari - Ii
Barddhaman,Kalna - I
Barddhaman,Kalna - Ii
Barddhaman,Jamalpur
Barddhaman,Raina - I
Barddhaman,Khandaghosh
Barddhaman,Raina - Ii
Nadia,Karimpur - I
Nadia,Karimpur - Ii
Nadia,Tehatta - I
Nadia,Tehatta - Ii
Nadia,Kaliganj
Nadia,Nakashipara
Nadia,Chapra
Nadia,Krishnagar - Ii
Nadia,Nabadwip
Nadia,Krishnagar - I
Nadia,Krishnaganj
Nadia,Hanskhali
Nadia,Santipur
Nadia,Ranaghat - I
Nadia,Area Not Under Any Sub-District
Nadia,Ranaghat - Ii
Nadia,Chakdah
Nadia,Haringhata
North Twenty Four Parganas,Bagda
North Twenty Four Parganas,Bongaon
North Twenty Four Parganas,Gaighata
North Twenty Four Parganas,Swarupnagar
North Twenty Four Parganas,Habra - I
North Twenty Four Parganas,Habra - Ii
North Twenty Four Parganas,Amdanga
North Twenty Four Parganas,Barrackpur - I
North Twenty Four Parganas,Area Not Under Any Sub-District
North Twenty Four Parganas,Barrackpur - Ii
North Twenty Four Parganas,Barasat - I
North Twenty Four Parganas,Barasat - Ii
North Twenty Four Parganas,Deganga
North Twenty Four Parganas,Baduria
North Twenty Four Parganas,Basirhat - I
North Twenty Four Parganas,Basirhat - Ii
North Twenty Four Parganas,Haroa
North Twenty Four Parganas,Rajarhat
North Twenty Four Parganas,Minakhan
North Twenty Four Parganas,Sandeshkhali - I
North Twenty Four Parganas,Sandeshkhali - Ii
North Twenty Four Parganas,Hasnabad
North Twenty Four Parganas,Hingalganj
Hugli,Goghat - I
Hugli,Goghat - Ii
Hugli,Arambag
Hugli,Pursura
Hugli,Tarakeswar
Hugli,Dhaniakhali
Hugli,Pandua
Hugli,Balagarh
Hugli,Chinsurah - Magra
Hugli,Area Not Under Any Sub-District
Hugli,Polba - Dadpur
Hugli,Haripal
Hugli,Singur
Hugli,Serampur Uttarpara
Hugli,Chanditala - I
Hugli,Chanditala - Ii
Hugli,Jangipara
Hugli,Khanakul - I
Hugli,Khanakul - Ii
Bankura,Saltora
Bankura,Mejhia
Bankura,Gangajalghati
Bankura,Chhatna
Bankura,Indpur
Bankura,Bankura - I
Bankura,Bankura - Ii
Bankura,Barjora
Bankura,Sonamukhi
Bankura,Patrasayer
Bankura,Indus
Bankura,Kotulpur
Bankura,Jaypur
Bankura,Vishnupur
Bankura,Onda
Bankura,Taldangra
Bankura,Simlapal
Bankura,Khatra
Bankura,Hirbandh
Bankura,Ranibundh
Bankura,Raipur
Bankura,Sarenga
Puruliya,Jaipur
Puruliya,Purulia - Ii
Puruliya,Para
Puruliya,Raghunathpur - Ii
Puruliya,Raghunathpur - I
Puruliya,Neturia
Puruliya,Santuri
Puruliya,Kashipur
Puruliya,Hura
Puruliya,Purulia - I
Puruliya,Puncha
Puruliya,Arsha
Puruliya,Jhalda - I
Puruliya,Jhalda - Ii
Puruliya,Bagmundi
Puruliya,Balarampur
Puruliya,Barabazar
Puruliya,Manbazar - I
Puruliya,Manbazar - Ii
Puruliya,Bundwan
Haora,Udaynarayanpur
Haora,Amta - Ii
Haora,Amta - I
Haora,Jagatballavpur
Haora,Domjur
Haora,Bally Jagachha
Haora,Sankrail
Haora,Area Not Under Any Sub-District
Haora,Panchla
Haora,Uluberia - Ii
Haora,Uluberia - I
Haora,Bagnan - I
Haora,Bagnan - Ii
Haora,Shyampur - I
Haora,Shyampur - Ii
South Twenty Four Parganas,Thakurpukur Mahestola
South Twenty Four Parganas,Budge Budge - I
South Twenty Four Parganas,Budge Budge - Ii
South Twenty Four Parganas,Bishnupur - I
South Twenty Four Parganas,Bishnupur - Ii
South Twenty Four Parganas,Sonarpur
South Twenty Four Parganas,Bhangar - I
South Twenty Four Parganas,Bhangar - Ii
South Twenty Four Parganas,Canning - I
South Twenty Four Parganas,Canning - Ii
South Twenty Four Parganas,Baruipur
South Twenty Four Parganas,Magrahat - Ii
South Twenty Four Parganas,Magrahat - I
South Twenty Four Parganas,Falta
South Twenty Four Parganas,Diamond Harbour - I
South Twenty Four Parganas,Diamond Harbour - Ii
South Twenty Four Parganas,Kulpi
South Twenty Four Parganas,Mandirbazar
South Twenty Four Parganas,Mathurapur - I
South Twenty Four Parganas,Jaynagar - I
South Twenty Four Parganas,Jaynagar - Ii
South Twenty Four Parganas,Kultali
South Twenty Four Parganas,Basanti
South Twenty Four Parganas,Gosaba
South Twenty Four Parganas,Mathurapur - Ii
South Twenty Four Parganas,Kakdwip
South Twenty Four Parganas,Sagar
South Twenty Four Parganas,Namkhana
South Twenty Four Parganas,Patharpratima
Paschim Medinipur,Binpur - Ii
Paschim Medinipur,Binpur - I
Paschim Medinipur,Garbeta - Ii
Paschim Medinipur,Garbeta - I
Paschim Medinipur,Garbeta - Iii
Paschim Medinipur,Chandrakona - I
Paschim Medinipur,Chandrakona - Ii
Paschim Medinipur,Ghatal
Paschim Medinipur,Daspur - I
Paschim Medinipur,Daspur - Ii
Paschim Medinipur,Keshpur
Paschim Medinipur,Salbani
Paschim Medinipur,Midnapore
Paschim Medinipur,Jhargram
Paschim Medinipur,Jamboni
Paschim Medinipur,Gopiballavpur - Ii
Paschim Medinipur,Gopiballavpur - I
Paschim Medinipur,Nayagram
Paschim Medinipur,Sankrail
Paschim Medinipur,Kharagpur - I
Paschim Medinipur,Kharagpur - Ii
Paschim Medinipur,Debra
Paschim Medinipur,Pingla
Paschim Medinipur,Sabang
Paschim Medinipur,Narayangarh
Paschim Medinipur,Keshiary
Paschim Medinipur,Dantan - I
Paschim Medinipur,Dantan - Ii
Paschim Medinipur,Mohanpur
Purba Medinipur,Panskura
Purba Medinipur,Kolaghat
Purba Medinipur,Tamluk
Purba Medinipur,Sahid Matangini
Purba Medinipur,Nanda Kumar
Purba Medinipur,Mahisadal
Purba Medinipur,Moyna
Purba Medinipur,Potashpur - I
Purba Medinipur,Potashpur - Ii
Purba Medinipur,Bhagawanpur - Ii
Purba Medinipur,Bhagawanpur - I
Purba Medinipur,Chandipur
Purba Medinipur,Sutahata
Purba Medinipur,Haldia
Purba Medinipur,Nandigram - I
Purba Medinipur,Nandigram - Ii
Purba Medinipur,Khejuri - I
Purba Medinipur,Khejuri - Ii
Purba Medinipur,Contai - I
Purba Medinipur,Deshopran
Purba Medinipur,Contai - Iii
Purba Medinipur,Egra - I
Purba Medinipur,Egra - Ii
Purba Medinipur,Ramnagar - I
Purba Medinipur,Ramnagar - Ii
Garhwa,Kharaundhi
Garhwa,Bhawnathpur
Garhwa,Ketar
Garhwa,Kandi
Garhwa,Majhiaon
Garhwa,Bardiha
Garhwa,Ramna
Garhwa,Bishunpura
Garhwa,Nagaruntari
Garhwa,Dhurki
Garhwa,Sagma
Garhwa,Dandai
Garhwa,Chinia
Garhwa,Meral (Pipra Kalan)
Garhwa,Garhwa
Garhwa,Danda
Garhwa,Ranka
Garhwa,Ramkanda
Garhwa,Bhandaria
Chatra,Shaligram Ram Narayanpur(Hunterganj)
Chatra,Pratappur
Chatra,Kunda
Chatra,Lawalaung
Chatra,Chatra
Chatra,Kanha Chatti
Chatra,Itkhori
Chatra,Mayur Hand
Chatra,Gidhaur
Chatra,Pathalgora
Chatra,Simaria
Chatra,Tandwa
Kodarma,Satgawan
Kodarma,Kodarma
Kodarma,Domchanch
Kodarma,Jainagar
Kodarma,Chandwara
Kodarma,Markacho
Giridih,Gawan
Giridih,Tisri
Giridih,Deori
Giridih,Dhanwar
Giridih,Jamua
Giridih,Bengabad
Giridih,Gande
Giridih,Giridih
Giridih,Birni
Giridih,Bagodar
Giridih,Sariya
Giridih,Dumri
Giridih,Pirtanr
Deoghar,Deoghar
Deoghar,Mohanpur
Deoghar,Sarwan
Deoghar,Sona Rai Tharhi
Deoghar,Devipur
Deoghar,Madhupur
Deoghar,Margo Munda
Deoghar,Karon
Deoghar,Sarath
Deoghar,Palojori
Godda,Meherma
Godda,Thakurgangti
Godda,Boarijor
Godda,Mahagama
Godda,Pathargama
Godda,Bashant Rai
Godda,Godda
Godda,Poreyahat
Godda,Sundarpahari
Sahibganj,Sahibganj
Sahibganj,Mandro
Sahibganj,Borio
Sahibganj,Barhait
Sahibganj,Taljhari
Sahibganj,Rajmahal
Sahibganj,Udhwa
Sahibganj,Pathna
Sahibganj,Barharwa
Pakur,Litipara
Pakur,Amrapara
Pakur,Hiranpur
Pakur,Pakaur
Pakur,Maheshpur
Pakur,Pakuria
Dhanbad,Tundi
Dhanbad,Purbi Tundi
Dhanbad,Topchanchi
Dhanbad,Baghmara-Cum-Katras
Dhanbad,Gobindpur
Dhanbad,Dhanbad-Cum-Kenduadih-Cum-Jagata
Dhanbad,Baliapur
Dhanbad,Nirsa-Cum-Chirkunda
Bokaro,Nawadih
Bokaro,Chandrapura
Bokaro,Bermo
Bokaro,Gumia
Bokaro,Peterwar
Bokaro,Kasmar
Bokaro,Jaridih
Bokaro,Chas
Bokaro,Chandankiyari
Lohardaga,Kisko
Lohardaga,Peshrar
Lohardaga,Kuru
Lohardaga,Kairo
Lohardaga,Lohardaga
Lohardaga,Senha
Lohardaga,Bhandra
Purbi Singhbhum,Patamda
Purbi Singhbhum,Boram
Purbi Singhbhum,Golmuri-Cum-Jugsalai
